ts,coin,label,book_time_ms,best_bid_before,best_bid_after,best_ask_before,best_ask_after,bid_top_depth_delta,ask_top_depth_delta,bid_top_notional_delta,ask_top_notional_delta,mid_move,spread_before,spread_after,is_impulse
2026-06-30T21:00:19.884684+00:00,#1891,france_champion_no,1782853219313,0.70563,0.70563,0.7148,0.7148,0.0,0.0,0.0,0.0,0.0,0.009170000000000011,0.009170000000000011,False
2026-06-30T21:00:19.884782+00:00,#2130,sweden_champion_yes,1782853219313,0.00063,0.00063,0.00225,0.00225,0.0,0.0,0.0,0.0,0.0,0.00162,0.00162,False
2026-06-30T21:00:19.884874+00:00,#2131,sweden_champion_no,1782853219313,0.99775,0.99775,0.99937,0.99937,0.0,0.0,0.0,0.0,0.0,0.0016199999999999548,0.0016199999999999548,False
2026-06-30T21:00:19.884969+00:00,#6740,France,1782853219313,0.88165,0.88165,0.88333,0.88333,-7475.0,0.0,-6556.6934999999985,0.0,0.0,0.0016799999999999038,0.0016799999999999038,True
2026-06-30T21:00:19.885081+00:00,#6741,Sweden,1782853219313,0.11667,0.11667,0.11835,0.11835,0.0,-7475.0,0.0,-918.3064999999999,0.0,0.001680000000000001,0.001680000000000001,True
2026-06-30T21:00:20.298648+00:00,#1890,france_champion_yes,1782853219857,0.2852,0.2852,0.29437,0.29437,0.0,0.0,0.0,0.0,0.0,0.009170000000000011,0.009170000000000011,False
2026-06-30T21:00:20.298915+00:00,#1891,france_champion_no,1782853219857,0.70563,0.70563,0.7148,0.7148,0.0,0.0,0.0,0.0,0.0,0.009170000000000011,0.009170000000000011,False
2026-06-30T21:00:20.299072+00:00,#2130,sweden_champion_yes,1782853219857,0.00063,0.00063,0.00225,0.00225,0.0,0.0,0.0,0.0,0.0,0.00162,0.00162,False
2026-06-30T21:00:20.299193+00:00,#2131,sweden_champion_no,1782853219857,0.99775,0.99775,0.99937,0.99937,0.0,0.0,0.0,0.0,0.0,0.0016199999999999548,0.0016199999999999548,False
2026-06-30T21:00:20.299313+00:00,#6740,France,1782853219857,0.88165,0.88165,0.88333,0.88333,7475.0,577.0,6538.768499999999,510.5635999999995,0.0,0.0016799999999999038,0.0016799999999999038,True
2026-06-30T21:00:20.299513+00:00,#6741,Sweden,1782853219857,0.11667,0.11667,0.11835,0.11835,577.0,7475.0,66.43640000000005,936.2315000000001,0.0,0.001680000000000001,0.001680000000000001,True
2026-06-30T21:00:22.672741+00:00,#1890,france_champion_yes,1782853220378,0.2852,0.2852,0.29437,0.29437,0.0,0.0,0.0,0.0,0.0,0.009170000000000011,0.009170000000000011,False
